YEAR,MO,DY,Distribuidora,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,Distribuidora
2025,3,16,Barranquilla,28.61,23.89,26.25,29.17,5.58,32.07,26.49,18.4,75.95,1.33,Barranquilla
2025,3,17,Barranquilla,28.34,24.19,26.26,28.82,4.19,30.99,26.8,18.74,78.37,1.47,Barranquilla
2025,3,18,Barranquilla,27.81,22.83,25.32,28.3,3.62,30.16,26.54,17.23,74.27,0.25,Barranquilla
2025,3,19,Barranquilla,27.71,22.35,25.03,28.32,3.9,30.02,26.12,16.74,72.55,0.04,Barranquilla
2025,3,20,Barranquilla,28.3,24.0,26.15,28.82,5.01,31.28,26.27,18.56,77.74,2.5,Barranquilla
2025,3,21,Barranquilla,28.37,24.69,26.53,28.66,4.15,31.0,26.85,19.36,80.63,1.27,Barranquilla
2025,3,22,Barranquilla,28.69,24.27,26.48,28.89,4.22,30.9,26.68,18.88,77.14,0.61,Barranquilla
2025,3,23,Barranquilla,29.29,23.42,26.36,29.59,6.05,32.82,26.77,17.92,71.0,0.19,Barranquilla
2025,3,24,Barranquilla,29.29,23.48,26.39,29.69,6.13,32.91,26.78,17.99,71.31,0.12,Barranquilla
2025,3,25,Barranquilla,28.8,23.75,26.27,29.13,6.21,32.84,26.63,18.29,74.83,3.43,Barranquilla
2025,3,26,Barranquilla,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Barranquilla
2025,3,27,Barranquilla,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Barranquilla
2025,3,28,Barranquilla,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Barranquilla
2025,3,29,Barranquilla,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Barranquilla
2025,3,30,Barranquilla,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Barranquilla
2025,3,31,Barranquilla,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Barranquilla
2025,3,1,Barrancabermeja,24.44,22.16,23.3,24.2,4.52,27.24,22.72,17.6,87.68,2.63,Barrancabermeja
2025,3,2,Barrancabermeja,24.86,21.72,23.29,24.58,6.98,28.68,21.7,17.11,83.53,4.74,Barrancabermeja
